Year,Persons,Males,Females
1987-1991,88.3,84.8,91.9
1992-1996,90.2,87.6,93.2
1997-2001,91.9,90.2,94.1
2002-2006,91.4,89.4,94.0
2007-2011,90.4,88.1,93.4
2012-2016,92.0,90.3,94.3
2017-2021,94.3,91.9,95.9
